,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive
53,Houda Zerdoudi,http://www.youtube.com/channel/UCg-QhhZ4phl1oGluJFUia5Q,انا شخصيا راني معاها فواش تقول هاذ الظاهرة يا عباد الله راهي صايرة وكاينة فية من الشباب من هذا النوع حقا حاشا البعض كاين اكيد فية من الشباب ماشاء الله وتبارك الله كاين تفوت عليه طفلة يبقى يخزر تكون مع مها معا بابا والو ميديرش الوجه يخزر يتبلا وبالكلام الزايد تاني والله حضرت في موقف بقيت حايرة كنت ماشية جازت واحدة دايرة جلباب مستورة ميبان فيها والو قال صاحبو شوف شوف هاد الجور بدات ميتامنوش وغير هادي ليمتدخلش لداري درك هذا لنوع وين نصنفوه بالله عليكم كيما دير متسلكش لكن مانيش نشجعها ولا كيراهي تسب وتشتم لكن هي هدرت بعد حادثة شيماء ربي يرحمها من فعل فعلته تلك هو امثاله,2,2020-10-19T19:42:33Z,p
54,بسومة بسومة,http://www.youtube.com/channel/UCea4L5iO3HJniuM83SrOcSQ,نقولك حاجة نحي هذيك لقوصة علا جبهتك ونحي لمكياج مسكينة هاذ شعب الجزاير هوا لطلعك يا كرفة شوفي بصح الكب يعرف غير ينبح,0,2020-10-19T19:36:46Z,p
55,frap soLo,http://www.youtube.com/channel/UCL2KA4bDh4PDE8q8wxL0bng,تفو خنز,0,2020-10-19T18:36:43Z,p
56,Farid Salah,http://www.youtube.com/channel/UCzFQN8q_WVFlRIGBoYneHOA,هدي واش زبل انتما عطيتوها قيمة اكثر من حجميها,0,2020-10-19T18:29:38Z,p
57,Youcef HBIRECH,http://www.youtube.com/channel/UCfRAmCcaXIIfu7933qOw-Hw,متلومهاش راه الخط احمر ه جايحة,0,2020-10-19T18:27:38Z,p
58,KARIM ACHOURI,http://www.youtube.com/channel/UCB3_KJ-nCB3h26yrvA33iDQ,لا ماشي كيف كيف علا خاطر جارتي قالت بلي نتي مريول ليكيب مانيش غالط كي قلت مريول وما قلتش مريولة اذا توافقني الراي هات جام,0,2020-10-19T18:10:19Z,p
59,Amalia Amir,http://www.youtube.com/channel/UCQA2W227kmPqGFWUwQjEwEQ,هدا واش تعرفو تدخلو غير تفتوا شيوخ الفتنة ربي قال تاني غض البصر ولا نتوما كي تروحو عند ربي قولو حنا رجال ما نتعيبوش يا خي كافي,1,2020-10-20T14:33:40Z,p
60,Rabie Boudjelal,http://www.youtube.com/channel/UCXh4pk4X2Y3nc1r4QOj_2mA,نتي فذاتك خماج اع اختفوه وخاوتك وباباك ولى معندكش اصل ونسب,0,2020-10-19T17:32:31Z,p
61,mouloud merah,http://www.youtube.com/channel/UCKLeIesnOCMoz7KDsWsRzEg,ربما يكون كلامها صحيح مع تحفظي على بعض الكلمات القدرة وهدا يعبر عن مستواها المعيشي المهم يا بنت الناس الله خلقلنا الجمال قال اتقوا كيف نرى الجمال ولا نعشق هنا اتحدث عن الجمال بدون مجاملات اقسم بالله انك بعيدة جدا على ان توصفي بالجمال رانا نعيشوا في السويد الحمد لله كون تجي هنا يخلعوا بيك لولاد الصغار قلبك يطيح يا واش اسمك الجمال الطبيعي ماشي ماكياج خلونا من لكلام تاع الجمال جمال الروح ياو جمال زبي لا روح لا جد ماليكم,0,2020-10-19T17:06:22Z,p
62,Zobir Amin,http://www.youtube.com/channel/UC_NBlVXJQR0aUSc5it-jO0w,عليها قعدت بايرة,0,2020-10-19T16:47:49Z,p
63,Imad Djaffel,http://www.youtube.com/channel/UCFXS2TR-Sfya--D8ShYNoKg,كون يحكمها شباب يقتلها يقلك مضلومة او غير بلع فمك كاين ناس قادرين يقتلك راك في بلاد على جال كلمة يقتلك,0,2020-10-19T16:20:32Z,p
64,Hassane Mesbah,http://www.youtube.com/channel/UCrxM634hjPr1idBFlcrS7CA,اي نوع من النساء انت وعلاش الجزايري داير هك متوحش وبهذه الصفات الي قلتي عليها بلاك هذا في داركم روحي غسلي وجهك وخزري في روحك في المرة متشبه لوالو روحي اصتري روحك قبل ما تحكي على سيادك,0,2020-10-19T16:15:32Z,p
65,Nassi Massi,http://www.youtube.com/channel/UCuwINwkDxNZjWqE0VwXUTGw,یاخی بهلول روح تعطی,0,2020-10-19T17:12:36Z,p
66,Nassi Massi,http://www.youtube.com/channel/UCuwINwkDxNZjWqE0VwXUTGw,حتی انت واحد ماسامع بیك علی الاقل انت راك سامع بیها یاخی بهلول روح تعطی,0,2020-10-19T17:14:18Z,p
67,Maroua Belkhire,http://www.youtube.com/channel/UCqbQ1DVfvUb2wGoZGBcxinQ,زدقتلهم وعندها الف حق يا نمي لي يهدر الحق يسموه ماهوش مليح تفو عليكم زدقتلكم,0,2020-10-19T15:03:11Z,p
68,BaH Halim,http://www.youtube.com/channel/UCrhjjdQzp1_J-8esrB3O0JQ,روحي استري روحك وارواحي تحكي مع الناس باين سخفتي علولاد ومقيموكش خامجة,0,2020-10-19T14:40:42Z,p
69,1 نوفمبر,http://www.youtube.com/channel/UCJsTl1Wvrbta6DOz9zPJHcg,الله يجيبلك حبة في هذاك لفم خرية,2,2020-10-19T14:38:49Z,p
70,med daoudi,http://www.youtube.com/channel/UCirisY2otSiDW5CcPp9HUUA,1 نوفمبر شتي ولله بايرة وصاي,1,2020-10-20T19:27:51Z,p
71,med daoudi,http://www.youtube.com/channel/UCirisY2otSiDW5CcPp9HUUA,جبتيلي ضحك اكدولي على خرا,1,2020-10-20T17:59:10Z,p
72,Oussama La blonc,http://www.youtube.com/channel/UC-Ul8A5aR-Za6_Pu8gBELVA,العبها بهلول تشبع كسور منعرفش وحدة تسب دزيرية تعرفيها نتي يزي,0,2020-10-19T18:57:31Z,p
73,Chouaib Selmouni,http://www.youtube.com/channel/UCD8xQ30glIZXtRQSRcWIHSQ,المتكبر كالواقف على جبل يرى الناس صغارا يرونه صغيرا نتي من هدرتك باينة بلي ناقصة عقل لخاطش جمعتي كامل الناس نسيتي بلي كاين كاين الرجال يختالفو ماشي كامل كيف كيف كي جي تهدري على اي واحد ما تجمعيش الناس كامل بصفة وحدة لخاطش كاين رجال بمعنى الكلمة اولاد فاميليا والف وحدة تتمناهم حتى النسا فيهم عليهم كاين بنت الفاميليا امراة صالحة كاين لي ما تسواش وخارجة طريق ربي خلق فرق ما تخافش الشبعان اذا جاع خاف الجيعان اذا شبع الحيوانات المفترسة تصبح شرسة جدا اذا جاعت الانسان يصبح متوحش جدا اذا شبع والفاهم يفهم نتي شبعة جديدة يا لحابسة طول اللسان يدل على صغر العقل وقذارة اللسان تدل على جهل الانسان نتي ما تشرفيش الجزاير يا وحدة الجاهلة لبلاد هذي ماتو عليها الرجال لبلاد هذي قدمت النفس النفيس قدمت خيرة ابناء الوطن باش الوطن تحرر تجي نتي بنت البارح تسبي اولاد المجاهدين اولاد الشهداء لي جابولك الاستقلال باش نتي تلقايها واجدة طايبة على لجمر تزيدي تسبي تجمعيهم كامل الله غالب واش يجيك من الزوبية غير الفوحة,0,2020-10-19T14:17:56Z,p
74,Ami Saz,http://www.youtube.com/channel/UCVOWVi7it8izu5Q_5mPWYYg,روحي الي معمر مكياج بهلول,3,2020-10-19T13:44:19Z,p
75,بيبلد فري,http://www.youtube.com/channel/UC6SMf1OjzkGSWhue5XQyjWg,شوفي يامنية ولاد الجزاير رجال وعليهم لكلام خترا خرا هدي وعرفي واش تحدري تحيا ولاد الجزاير,3,2020-10-19T13:21:50Z,p
76,maria maram,http://www.youtube.com/channel/UCPwhFasrlO3amd-u8Y97vVw,هاذو على وجهك الصحيح حاشة الي راهم يشوفو يا بنت الناس وش نكرهك يا يما نشوفك نتسكن,0,2020-10-19T13:05:23Z,p
77,Djamel eddine AB,http://www.youtube.com/channel/UCbrt9aWM9AV6f1q-AapWirg,مولات الصليعة ولات تهدر بصح عندك الحق على خاطر الذكور ال 106 لي راكي عايشة معاهم فالحصص وسايل التواصل هوما لي خلاوك تهدري هكذا,0,2020-10-19T12:50:22Z,p
78,Sara Madeni,http://www.youtube.com/channel/UC6cF-BZMqT3dk2QYwiVrp-w,عندك الصح والله بلاد زبي,0,2020-10-19T12:49:48Z,p
79,Chahrazed Ghizlane31,http://www.youtube.com/channel/UCqB8jYKj2ttewuP_vhjeBFg,عندها صح ماقالت عيب رجال ماطلقو والو لا مستورة لا عريانة يشوفو مرا كي شغل طرف لحم والحيوانات راه عندهم الرحمة كي وليتو تغتاصبو الحيوانات والعجايز والاطفال,0,2020-10-19T12:32:26Z,p
80,Laib Marwan,http://www.youtube.com/channel/UCsWHJfSBFHmwVD_5il5XNcA,نتيا خرية,0,2020-10-19T11:57:25Z,p
