,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect,auto_annotation,result
12,Miss Loona,http://www.youtube.com/channel/UCTnw4ZGfNylgSJ1Z1lg1kuQ,علاه راكي تمحي في تعليقاتي ولا كلمة الحق متعجبكمش نعم هذا مجتمع ذكوري بحت وين النساء في عوض يدافعو فيه على بعضاهم ولاو يبحثوا فيه على حجة يدافعوا بيها على المغتصبين والقتلة نساء بلا كرامة نساء بلا وجود,0,2021-04-22T09:22:29Z,p,,n,0.0
13,Lilyana Hanane,http://www.youtube.com/channel/UCld_6Coa__HBTb7tZv4AvfA,انا جامي محيت تعليقات ختي لعزيزة ربي يعطيك العافيه,0,2021-04-23T05:16:24Z,n,,n,1.0
14,Larbi Dz,http://www.youtube.com/channel/UC4hJMgg02cBgTN86U1dwuMw,عندك صح ستعرب بيك,0,2021-04-21T23:38:20Z,n,,n,1.0
15,Amani Nina,http://www.youtube.com/channel/UCjwT5nI2rGd4q4t9FvYzjvw,واش دخلك واش كانت لابسا روحي شوفي روحك بصح حبيت نسقسيك حاجا نتي علاش تزوخي بزاف الله يهدي ماخلق,0,2021-04-21T23:07:04Z,p,,p,1.0
16,جنان الورد,http://www.youtube.com/channel/UCYfpm2okpWh360SlelWPWTg,ربي يهديك للتخون في بنات بلادك,1,2021-04-21T22:31:12Z,p,,n,0.0
17,sandro perlo,http://www.youtube.com/channel/UC8_kGUG55z0QWHrTN1LeIow,ربي يهديك,0,2021-04-21T21:44:42Z,n,,n,1.0
18,Amani Maryola,http://www.youtube.com/channel/UCBkuU6BHLiKCfNRbrBcQ9rQ,وزيد تقول وتعاود فيها حسبي الله ونعم الوكيل,0,2021-04-21T20:56:16Z,n,,n,1.0
19,Kouki Koukiya,http://www.youtube.com/channel/UC5KP171FnZJDDJ7PVpMoHYQ,كنت نحبك بصح كرهت,0,2021-04-21T17:29:52Z,p,,p,1.0
20,Kawther Gharbi,http://www.youtube.com/channel/UCgl0LeykkRS5lxfNGEQ7XxA,شيماء الله يرحمها نقطة نتي كون قولتي الله يرحمها سكتي مش تشركي في فومك على الجزايرين كامل خربتيها على روحك برك واحد ماهو يسمع بيك,0,2021-04-21T04:27:38Z,p,,n,0.0
21,KOMA TV,http://www.youtube.com/channel/UCXlLzGhDhBdrmTH5318zwdg,عندها لحق نستعرف بيها,1,2021-04-20T21:30:37Z,n,,n,1.0
22,Karim Walide,http://www.youtube.com/channel/UC21HL8ZgKDKAdoIDRGIwqqQ,انتي وشدخلك فناس بزاف عليك الله يهديك,0,2021-04-19T18:33:09Z,p,,n,0.0
23,Rabia Ayed,http://www.youtube.com/channel/UC6iJ8azqg2p53W00IOejcGg,ولله لعندك الصح,1,2021-04-19T16:33:17Z,n,,n,1.0
24,Amir Miral,http://www.youtube.com/channel/UC5CJQCL2ho3OTjZSQZ4uvmQ,والله غير عندها الحق,0,2021-04-19T13:39:32Z,n,,n,1.0
25,محترف فري فاير,http://www.youtube.com/channel/UCFPmY7iQCwA1Cid-ePA1c2A,لاه تقولي ربي يرحمها من ويكت عدتي تعرفي ربي,0,2021-04-19T13:00:09Z,p,,n,0.0
26,mariam khaled,http://www.youtube.com/channel/UCbx6nf40sdklXHaH6xIfr-Q,بعيدا على اني ما نحملهاش راهي تهدر برك باش تشهر في روحا بصح الكلام يلي قالتو صح للاسف ما نقدرش ننكر هذا هو حالنا الجزايرين رجعو يبهدلو بروحهم وين يروحو خصوصا في تعاليق في فايسبوك سوشيال ميديا بهدلو روحهم خصوصا قدام باقي بلدان عربية عقليتهم زيرو حتى الواحد رجع يحشم في بلاصتهم الله يهديهم الا من رحم ربي,0,2021-04-18T06:06:37Z,p,,p,1.0
27,شويرفات محمد,http://www.youtube.com/channel/UCuj0i6E-BFNjc3YV7gqaEsA,عبري عن شعورك واعطي ردت فعلك ولاكن ماتهبطيش نيفو تخصري متابعين صح متمسنيش بهدرتك منحسش نقص في روحي ولاكن كانت عندك طرق عديد لتفسير وتوضيح بهذه الطريق راكي نقصتي من قيمتك اختي العزيز وفي الاخير كل واحد راح يتحاسب وحدو ديري لبغيتي انا ماتهمنيش ولاكن نتصفح طلعتيلي هدر لقلتيها ماش مليح ناس راها تشوف كاين ليتفرج مايعلقش تربحي منو غير دعوت شر انت وليا ربي يهديك هذا واش نقول وشكرا,0,2021-04-18T03:39:02Z,p,,p,1.0
28,Roza Maya,http://www.youtube.com/channel/UCXCpP_HnqW-LZKJYjw1mN6w,سوكتي اسوكلي,1,2021-04-17T21:39:28Z,p,,p,1.0
29,mimi chan,http://www.youtube.com/channel/UCzN3IFXOgv3BIpSaKi8EL0w,شحال نكرهها تشبه للحلوف,0,2021-04-15T14:58:22Z,p,,p,1.0
30,Pika Pikatcho,http://www.youtube.com/channel/UC3g6d3oO_L3MtChOXm4E5Gw,هي جابت وش راه صاري هذا واقع وبزاف افهمو الهدرة قبل ماتقصفوها هي ماشي تقصد قاع الجزايريين تقصد الفية المنحرفة ولي حس انو تهين فيه هو يامكحلها يامن هادوك الفية غاضهم الحال على المتوحشين داهم النييف على هذ الفية لي مخسرة صورة الجزايريين وبالاخص الرجال,0,2021-04-15T10:45:47Z,n,,n,1.0
31,Mounir Ghalem,http://www.youtube.com/channel/UCVjxwTdswjx-DCZiaDe7ZmQ,ربي سبحانو ايقولك السترا ربي يسترنا,1,2021-04-14T01:21:31Z,n,,n,1.0
32,Enseignante De français,http://www.youtube.com/channel/UCfpGM2n-h3jZwA4Z1e4QoWg,مافهمتش كيفاه اهانت الجزايرين ربي يهديكم اي عندها حق ملخر,0,2021-04-13T22:28:30Z,n,,n,1.0
33,ramdhane melouki,http://www.youtube.com/channel/UCDUHf_5y-INuhDfV6lU_6_A,اولا مفهمتش هذاك لي معلق في رقبتك صليب ولا تخييلي ثانيا الله يرحم كل موتى المسلمين ثالثا ربي يهديك يالالا لي يشوفك وش تقولي يفهم بلي تحاولي تخرجينا من اصولنا وترجعينا فرنسيس يشوفو وحدة عريانة وما يشتغلوش بيها نفهمك بلي هاذوك رجالهم كل يوم يبات مع وحدة على ذيك كي تكون وحدة مكشوفة ما يخزرش فيها,0,2021-04-13T08:47:14Z,p,,p,1.0
34,Jdrj Jcfhjj,http://www.youtube.com/channel/UCpqsm7f0oIiTuxc8HtWGIgw,صح كلامك صحيح مي متنسانيش فضايحك وكلامك وزوخ التاعك تهدري علا لحرام ونتي دايراتو نكرهك من قلبي,1,2021-04-13T00:41:28Z,p,,p,1.0
35,Aya Youyou,http://www.youtube.com/channel/UCHYm-U4NWkfudWZplaemd2g,ماعندها الحق تهدر على الجزايريين انسات روحى ياك حتاهي جزايرية ومشي على جال بعض الناس تسب كامل الجزايريين,0,2021-04-12T19:38:19Z,n,,n,1.0
36,Malika Benirbah,http://www.youtube.com/channel/UC18nh_iYFRSGKZt7IJD_LBg,حنا المسلمين بصح نتي لالا,0,2021-04-12T19:22:06Z,n,,n,1.0
37,Isaac dave,http://www.youtube.com/channel/UClX8pCfuxlPsif2PtkX4xWg,عندها الحق 100 حاشا فية قليلة جداا,0,2021-04-12T17:52:49Z,n,,n,1.0
38,Sefyan. Seradj,http://www.youtube.com/channel/UCjVI29ypdg4bBbs22KiyhQQ,وجه مقلى,0,2021-04-12T17:09:26Z,p,,p,1.0
39,Malak Malak,http://www.youtube.com/channel/UCEFi5cGoOm3o4MIuy1D5bAg,هدرتك قلقتني قد مهدرت مفرغة,0,2021-04-11T18:45:50Z,p,,n,0.0
40,Malak Malak,http://www.youtube.com/channel/UCEFi5cGoOm3o4MIuy1D5bAg,كي راكي تهدري على الاسلام نتي تصلاي منضونش,0,2021-04-11T18:45:00Z,n,,n,1.0
41,Malak Malak,http://www.youtube.com/channel/UCEFi5cGoOm3o4MIuy1D5bAg,معجبتكش الجزاير روحي لفر نسا لاروبا هنين منك,0,2021-04-11T18:43:13Z,p,,p,1.0
42,Sidou Nassim,http://www.youtube.com/channel/UC5zEoEJv5d8I3o-OVEdwr1Q,هذ كلام كلامك ولا جبتيه مترمك,0,2021-04-11T00:23:45Z,p,,n,0.0
43,Yousef Boukada,http://www.youtube.com/channel/UCdjqE6TptFNt405oKLmorvw,نتيا مسلمة نتيا راكي منيتك,0,2021-04-10T20:47:40Z,p,,n,0.0
44,Amine Benamar,http://www.youtube.com/channel/UCZuPSu95gxFd-RjCwkmLDOw,الخاتم في الشاهد تداعى بانها مسلمة,0,2021-04-09T22:45:17Z,p,,n,0.0
45,Famous songs,http://www.youtube.com/channel/UCfLiYXwngVanirv-IGCOfOQ,وش جاب حسيبة بن بوعلي الى كلاش يوبي,0,2021-04-09T14:00:08Z,p,,n,0.0
46,Kettar Chaima chahin,http://www.youtube.com/channel/UCrHtjkG_KzhZR0BVGjpBV7Q,صليب صليب,0,2021-04-09T06:41:11Z,p,,p,1.0
47,ayman lyoun,http://www.youtube.com/channel/UCzqexPqF8H2HjMh1_Ysxo7g,ترقصي مليح,0,2021-04-08T14:46:45Z,p,,p,1.0
48,Mohamad Gaiming,http://www.youtube.com/channel/UCruUh8mk3uJa5X-Ok1tK7dw,شكون شاف السنسلة لي راهي دايرتها فيها لاكروا,1,2021-04-08T14:03:59Z,n,,n,1.0
49,Amroui Abdallah,http://www.youtube.com/channel/UC0rFRqaEF7gLcmPhH5js7Tg,راهي تهدر على لي ستشفاو شبيكم هكا والله هدرتها كامل صح انا صح ما تعجبنيش بزاف كي زواخة مي جونتي والله انا طفلة مي الموت ما تعطيش الراحة كاين عذاب القبر,2,2021-04-07T23:27:27Z,p,,n,0.0
50,Amir Ibiza,http://www.youtube.com/channel/UCXZk550SnHZY0MvBp_aDQSw,نتي مسيحية ولا مسلمة سلسلة تاعك فيها صليب ولا انا مانيش فاهم,0,2021-04-05T22:33:41Z,n,,p,0.0
51,Mimissa Mimi,http://www.youtube.com/channel/UChbVhwF1jMI6B_5hIIbqKZQ,عندها الحق في هذي,0,2021-04-04T11:27:47Z,n,,n,1.0
52,mm sss,http://www.youtube.com/channel/UCk8D_loxUMRvw84WZ8WwoRQ,اقسم بالله غير بحطبة متوشيهاش ماتسوا نبشة من مراة متحجبة,1,2021-04-03T22:46:11Z,p,,n,0.0
53,blanche Neige,http://www.youtube.com/channel/UCZ0iUyrpPhNTWDiDj_ikc3g,هي غلطت كي جمعت برك كون قالت البعض وهكدا مايلوموهاش بصح هاجو عليها خاطر علبالهم بلي صح بزاف كما راها تقول,0,2021-04-03T17:56:56Z,n,,n,1.0
54,Mounir Bouhadba,http://www.youtube.com/channel/UC4-aY1TaoTw-RWFjWeP00_A,شوفي جبهتك اا نعناعة حاشاك قاعدة تهدري على الجزايريين نت تلحقيهم,0,2021-04-02T14:10:31Z,p,,p,1.0
55,Moussa Aoiumeur,http://www.youtube.com/channel/UCZPSgpMl6w2qen7sIulcD2Q,بف,0,2021-04-01T23:25:26Z,p,,p,1.0
56,Bilel Khelif,http://www.youtube.com/channel/UCABmoKUgrsRnVwAMUeLNGSQ,الموت تعطي راحة للمومن ماش للحثالة اللي كيفك قبح الله وجوه المعاصي,0,2021-03-31T23:01:55Z,p,,n,0.0
57,ايمن قدور,http://www.youtube.com/channel/UC922HvJFLx2IDC-JOumvmzg,راهي لبس لكروا مشي,0,2021-03-31T18:50:20Z,n,,n,1.0
58,Bfyhgkvcf Veumkh,http://www.youtube.com/channel/UC6NXnuKQt1MD2UikeQxvt6A,شعب الجزاير تاع كلمة وهاذوا لي حاموا على بلادك فم كبير,0,2021-03-31T11:35:00Z,n,,n,1.0
59,Bfyhgkvcf Veumkh,http://www.youtube.com/channel/UC6NXnuKQt1MD2UikeQxvt6A,الله يهديك,0,2021-03-31T11:36:01Z,n,,n,1.0
60,تعلم اللغة الكورية معي,http://www.youtube.com/channel/UCVSvwf0TEze8GFhaHI1rO7A,صح عندها الحق,2,2021-03-30T22:00:04Z,n,,n,1.0
61,noùtîllâ,http://www.youtube.com/channel/UC7He4tg6t3pVtZ3EwCslGjQ,هذا وين لقيت واحد يفهمني ايه صح عندها حق وهذا واقع لي رانا عايشينو للاسف,0,2021-04-01T20:28:15Z,n,,n,1.0
62,ahmed msiliاخاك من الافعال 5 ؟,http://www.youtube.com/channel/UCGUfzU9DH0M11rxMFG9ehcw,تحيا ولاد بلادي,0,2021-03-30T18:08:59Z,n,,n,1.0
63,Aziza Mslem,http://www.youtube.com/channel/UCupUN6iLvvN-rcmAoF_0RRA,راهى تقول كلام صواب عندها الحق كامل واش قالت متحبوش تسمعو الحق تحبو تغطو الشمس بلغربال المهم هي مخسرتش انتو الى تحبو تخبو الصح برافو مونية قلتى الحق,0,2021-03-30T14:05:20Z,n,,n,1.0
64,stella carter,http://www.youtube.com/channel/UCcaHEhFZtajgt7Getb8Iodg,رخاس اشباه الرجال الي عايشين في الجزاير وصح الي عايشين في الجزاير ماشي مسلمين,0,2021-03-29T15:29:25Z,p,,n,0.0
65,stella carter,http://www.youtube.com/channel/UCcaHEhFZtajgt7Getb8Iodg,كلام صح,1,2021-03-29T15:28:00Z,n,,n,1.0
66,حسين كندار,http://www.youtube.com/channel/UCb-Wjf8A8WiNyPpXNY2iWrg,حبهت تحرير اعطيناكي عهدا,0,2021-03-29T13:53:52Z,p,,n,0.0
67,Hasns Khiet,http://www.youtube.com/channel/UCoKFeXC5PbTTd_0Ncm0Kp4Q,تقلقي عندك اسلوب فالكلام اكره سمحيلي لزم تروحي تترباي,0,2021-03-29T10:04:45Z,p,,n,0.0
68,Amer Bouda26,http://www.youtube.com/channel/UC7lJHSc9Kz9XYi2OSWuKFwg,والله كيف تضحكي تخلعيني فم كبير بزاف سوره تضحكي ضحكه طويله بزاف شاربك ديال الحق الواد والله غير فمك نحسو تينار,0,2021-03-28T18:17:52Z,p,,n,0.0
69,Imad dz,http://www.youtube.com/channel/UCJUd1xvHjMzyFuZtZmnyT3Q,والله غير اكبر مكبوت هي نتي تڨول خرجت من الحبس,0,2021-03-28T13:26:34Z,p,,n,0.0
70,Yasmine Ben naceur,http://www.youtube.com/channel/UCAfa3XStYbBiOY9IGAW4faQ,بلعقل على هادوك العنين,0,2021-03-27T09:46:05Z,n,,n,1.0
71,Sanaa Nina,http://www.youtube.com/channel/UC5if2vWZjRxFaly_z_jE5zA,قاتلك مكانش ديفيرونس بين العريانة ولي لابسة جلباب فهموها فهموها انا منعرفش نهدر كي نقلق,0,2021-03-25T01:25:24Z,p,,n,0.0
72,hggfxcn,http://www.youtube.com/channel/UCwWx1yt1s30LVWe182Xu8Gg,قالت بالنسبة للمغتصب لايوجد عنده فرق,0,2021-03-27T00:52:13Z,n,,n,1.0
73,sarah sarsour,http://www.youtube.com/channel/UC5RfyRg0ac6N91ODqXTO7sw,كون جيتي مرا ماتهدري هدي الهدرة على بلادك,0,2021-03-24T21:25:03Z,p,,n,0.0
74,Oussama Oussama,http://www.youtube.com/channel/UCbAH15flKqQsTt9Aozu-6BQ,ماتقدري الديري والو كي تكثري نحي السروال,1,2021-03-23T22:39:10Z,p,,n,0.0
75,La vie est Belle,http://www.youtube.com/channel/UCMhxt_owzq08L1_hML09Kfw,قبيحة شيطانة,0,2021-03-23T13:38:40Z,p,,p,1.0
76,Wahrane Mostaganem,http://www.youtube.com/channel/UCGUc0Ee5joyqPACor9lY8EA,صليب,0,2021-03-23T00:32:44Z,p,,p,1.0
77,ABD el laoui Fati,http://www.youtube.com/channel/UCn5tMWvp9X-v-I9w3IoX0QA,3 100,0,2021-03-22T12:42:22Z,p,,n,0.0
78,raouf terbak,http://www.youtube.com/channel/UCXZHJisiSSzWENO8m3MjKkA,تناقض لا ينتهي منى الطيح وتقول لشعب مكبوت امبعد تقول الدين اخلاق هه,0,2021-03-22T10:18:25Z,p,,n,0.0
79,عبد القادر معمر قوادري,http://www.youtube.com/channel/UCR34ZqzNVlVQj2WabPWz9wg,ياخاه تعيي دايرة روحها فاهمة,0,2021-03-21T17:54:29Z,p,,p,1.0
80,Boubnia Djamel,http://www.youtube.com/channel/UCJwTSPTL3a8GfSN9O5d9seQ,نكرها هاذي تقول راني معيشها,0,2021-03-21T14:00:18Z,p,,n,0.0
81,Aymen Henanou,http://www.youtube.com/channel/UCmarKQQG7JlEQRt2s5H8SNw,عقرب ه,0,2021-03-21T09:48:10Z,p,,p,1.0
82,farida fenni,http://www.youtube.com/channel/UCCyLxLU1HNYpKa1HuHU6qfA,دايرة مسيحية,0,2021-03-20T19:32:42Z,p,,p,1.0
83,Madara Nindo,http://www.youtube.com/channel/UCFmMC2qkFydGC84tBfUHZNQ,عندها الحق كاين كلام زايد لكن عندها الحق تدافع على الضحايا,0,2021-03-20T04:50:23Z,n,,n,1.0
84,Mimi Mimi,http://www.youtube.com/channel/UCzb5oNAFwnxyC2NIznhnioQ,عندها الحق بصح ماشي ڨاع الرجال,0,2021-03-20T03:27:43Z,n,,n,1.0
85,Nasro Nasro,http://www.youtube.com/channel/UCzIVpu0CZz6vgTtUhFuHBng,هدري نيشان يا العڨونى,0,2021-03-19T21:12:51Z,p,,p,1.0
86,Kiki Mimo,http://www.youtube.com/channel/UCOHSOo5XCRzHcOHKkgZMp3w,والله متحشمي صحيحة الوجه الله لاتربحك,0,2021-03-19T13:07:41Z,p,,n,0.0
87,Mohamed Sabbar,http://www.youtube.com/channel/UCR18lDCZ6nsYZhGnCaxKjog,قالت الحقيقة او جزء من الحقيقة او حتی لم تصب فهاته وجهة نظرها لماذا كل هاذا التخوين,0,2021-03-18T20:00:53Z,n,,n,1.0
88,صانع المحتوى,http://www.youtube.com/channel/UCKJWpzLAyS_kGkEQ-inb6OA,تحكي على الاسلام ماشك تبقي فيه حاب نفهم حاجة شكون لي قالبك ممثل انت اكي متجيش انسان و مرة جاي تعلمي اهدري باش تنصحي,0,2021-03-18T17:02:15Z,p,,n,0.0
89,nousa morsli,http://www.youtube.com/channel/UC_ezUZv_8IPc1xVsqILLuWw,ماكيش غاطة حبيبتي نحبك موت عليك,0,2021-03-18T12:17:21Z,n,,n,1.0
90,قناة مريومة للحلويات Nail,http://www.youtube.com/channel/UC073NsBUz7_cuEZr9of5bJA,وانا جيت اليوم نقولك بصحتنا مش راح نشوفو كمارتك في هذا رمضان,3,2021-03-17T19:11:07Z,p,,n,0.0
91,Beldi Youcef,http://www.youtube.com/channel/UCayiwxkfXj-L13ty4Itpixw,ننياا ماتسوايش ڨاع في هاد الدنيا,0,2021-03-17T13:43:02Z,p,,n,0.0
92,EVERY THINGS,http://www.youtube.com/channel/UC7QSS8Avq7Wultci39MWZKQ,الفديو تاعك معرض للحذف نضرا لتفوق الديسلايك,0,2021-03-17T00:55:23Z,n,,n,1.0
93,Reda cmr,http://www.youtube.com/channel/UCjzeYkTUXwY7bKV3GYp4NOw,تفو,0,2021-03-16T21:11:20Z,p,,p,1.0
94,Sid Ali Bezzi,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,الله يلعن,0,2021-03-15T10:26:59Z,p,,p,1.0
95,Sid Ali Bezzi,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,انتي ماشي مسلمة,1,2021-03-15T10:26:19Z,p,,p,1.0
96,Sid Ali Bezzi,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,واش دخلك,1,2021-03-15T10:24:35Z,p,,p,1.0
97,Amina Ben Khellaf,http://www.youtube.com/channel/UCyDqdH1LTQvsT20-WpgLyVg,كي تسترو رواحك وتقلو رواحك مايجيكم حتا واحد,0,2021-03-14T23:22:44Z,p,,n,0.0
98,khaled khaloud,http://www.youtube.com/channel/UCg7NNZRHbm62gToVXclWdpQ,واش حسبة روحك ويلا,0,2021-03-14T08:00:59Z,p,,p,1.0
99,Nadine Din,http://www.youtube.com/channel/UCTv9NwtP41N9Dez1uxJhLWA,نقصي من المايكياج نشوفو وجهك وجه معاد كيما يقولك,0,2021-03-14T00:15:19Z,p,,n,0.0
100,Walid Dob,http://www.youtube.com/channel/UCpPxbQ1PggrRENJGOFmZp1A,سترا هي حل حتى اكثر مضطربين متحرشين لن يتحرشو بي بنت مستورة جامي صرات عندنا وحدة مستورة تبلوها حنا نتبلو غير فوحة كم انت,0,2021-03-12T22:53:16Z,p,,n,0.0
101,Reda Reda,http://www.youtube.com/channel/UCU1DPYJw-fdbwvCtitMKhAg,روحي انصحي روحك,0,2021-03-12T21:40:02Z,p,,p,1.0
102,لا أريد قناة,http://www.youtube.com/channel/UCVttkYVQfGPpdKvtDxxx5bg,كافيا تاع الصح,1,2021-03-12T18:55:38Z,p,,p,1.0
103,Maria Rania,http://www.youtube.com/channel/UCBzlFJdFB5JUnFFBtQ3-R2w,بلعي بلعي بلعي ه جبهتك قد الكرة الارضيةهعه,2,2021-03-10T18:12:28Z,p,,p,1.0
104,Maria Rania,http://www.youtube.com/channel/UCBzlFJdFB5JUnFFBtQ3-R2w,هاوالله لوكان جات شابا لاقلنا معليش بصح هي والضيع كيف كيف ه,0,2021-03-11T18:14:55Z,p,,n,0.0
105,Marie Marie,http://www.youtube.com/channel/UCor6bZLmCOmjwj-4U3tkeAw,والله غير جبتيها,0,2021-03-10T19:58:21Z,n,,n,1.0
106,Amel Aitmeddour,http://www.youtube.com/channel/UCFBftpfhhxHsDtmWkBvQCQA,قالك واحد حب ايولي مشهور ديرو عليه قالولو روح اخرى في تالة راح خرا,0,2021-03-10T12:21:44Z,p,,p,1.0
107,Atman Hasan,http://www.youtube.com/channel/UCkfWe_muaDYjB4PZtHZPIUg,معليش نسقسيك واش كي تموتي واش نستروك ولا لا,0,2021-03-10T10:04:34Z,p,,n,0.0
108,123 Sultan,http://www.youtube.com/channel/UC7oO0w9fTmoNN6gR0DXZuHg,كيلو ماكياج,0,2021-03-09T03:42:30Z,p,,p,1.0
109,Madi Pirou,http://www.youtube.com/channel/UC4jWkMlnVLduIqIskqZKNBQ,جبهتك قد مطار هواري بومدين,0,2021-03-09T00:16:45Z,p,,p,1.0
110,Aymen Bandou,http://www.youtube.com/channel/UC3GKXkrXvA8K45jy6-0LF5A,الكحل ديرة حتى الوذنه,0,2021-03-08T21:27:48Z,p,,p,1.0
111,fatima zahra bekrattou,http://www.youtube.com/channel/UCc490ogxfpaL6sw8N-o4CGA,كلامها صحيح 100 100,0,2021-03-08T19:32:59Z,n,,n,1.0
112,loka Moka,http://www.youtube.com/channel/UCQ9O_4uTJzxgDz05nwAG9uA,بلعي فمك لانجي بلعوهولك ڤدقد,0,2021-03-08T18:13:53Z,p,,p,1.0
113,Nono Tasnim,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,اتربي,0,2021-03-08T16:10:53Z,p,,p,1.0
114,Nono Tasnim,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,غول مشي مربيا,1,2021-03-08T16:10:30Z,p,,p,1.0
115,Nono Tasnim,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,كلاب,0,2021-03-08T16:10:11Z,p,,p,1.0
116,Mali Hamdani,http://www.youtube.com/channel/UCWUFAVFzpjtx7vnTgg9bESw,سمحيلي بصح قمح مشرك,0,2021-03-08T15:26:57Z,p,,p,1.0
117,Amina Younsi,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,كنشوفك كشغل شت العدس بالبن او ديجا البن بالعدس خرمنك,0,2021-03-08T14:03:18Z,p,,n,0.0
118,Amina Younsi,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,انتي لمسلمة الله يبارك جامي شت مومنة كيما نتي,0,2021-03-08T13:59:46Z,p,,n,0.0
119,Amina Younsi,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,واحد مسقساك روحي تترباي قبل,0,2021-03-08T13:58:06Z,p,,p,1.0
120,Yazid bechani,http://www.youtube.com/channel/UCvz3IA2AoB-4w0xr0SQQchA,روحي ستري لحمك وتوبي لربي سبحان,1,2021-03-07T22:29:37Z,p,,p,1.0
121,Aya Aya,http://www.youtube.com/channel/UCcdvKdiUt5azM80Y7xST3OA,حش خلق ربي فمك كبير قديريها ربي يهديك,1,2021-03-07T21:18:53Z,p,,n,0.0
122,Dalya Dalya,http://www.youtube.com/channel/UCfEifrafC4qbOUmXyVnHp_g,هيه راهي عندها حق,0,2021-03-06T17:12:32Z,n,,n,1.0
123,Jojo Jiji,http://www.youtube.com/channel/UCd41PrxCMtMd6ceivrM3G3w,عندك الحق,0,2021-03-06T16:10:31Z,n,,n,1.0
