,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect
58,Bfyhgkvcf Veumkh,http://www.youtube.com/channel/UC6NXnuKQt1MD2UikeQxvt6A,شعب الجزاير تاع كلمة وهاذوا لي حاموا على بلادك فم كبير,0,2021-03-31T11:35:00Z,n,
59,Bfyhgkvcf Veumkh,http://www.youtube.com/channel/UC6NXnuKQt1MD2UikeQxvt6A,الله يهديك,0,2021-03-31T11:36:01Z,n,
60,تعلم اللغة الكورية معي,http://www.youtube.com/channel/UCVSvwf0TEze8GFhaHI1rO7A,صح عندها الحق,2,2021-03-30T22:00:04Z,n,
61,noùtîllâ,http://www.youtube.com/channel/UC7He4tg6t3pVtZ3EwCslGjQ,هذا وين لقيت واحد يفهمني ايه صح عندها حق وهذا واقع لي رانا عايشينو للاسف,0,2021-04-01T20:28:15Z,n,
62,ahmed msiliاخاك من الافعال 5 ؟,http://www.youtube.com/channel/UCGUfzU9DH0M11rxMFG9ehcw,تحيا ولاد بلادي,0,2021-03-30T18:08:59Z,n,
63,Aziza Mslem,http://www.youtube.com/channel/UCupUN6iLvvN-rcmAoF_0RRA,راهى تقول كلام صواب عندها الحق كامل واش قالت متحبوش تسمعو الحق تحبو تغطو الشمس بلغربال المهم هي مخسرتش انتو الى تحبو تخبو الصح برافو مونية قلتى الحق,0,2021-03-30T14:05:20Z,n,
64,stella carter,http://www.youtube.com/channel/UCcaHEhFZtajgt7Getb8Iodg,رخاس اشباه الرجال الي عايشين في الجزاير وصح الي عايشين في الجزاير ماشي مسلمين,0,2021-03-29T15:29:25Z,p,
65,stella carter,http://www.youtube.com/channel/UCcaHEhFZtajgt7Getb8Iodg,كلام صح,1,2021-03-29T15:28:00Z,n,
66,حسين كندار,http://www.youtube.com/channel/UCb-Wjf8A8WiNyPpXNY2iWrg,حبهت تحرير اعطيناكي عهدا,0,2021-03-29T13:53:52Z,p,
67,Hasns Khiet,http://www.youtube.com/channel/UCoKFeXC5PbTTd_0Ncm0Kp4Q,تقلقي عندك اسلوب فالكلام اكره سمحيلي لزم تروحي تترباي,0,2021-03-29T10:04:45Z,p,
68,Amer Bouda26,http://www.youtube.com/channel/UC7lJHSc9Kz9XYi2OSWuKFwg,والله كيف تضحكي تخلعيني فم كبير بزاف سوره تضحكي ضحكه طويله بزاف شاربك ديال الحق الواد والله غير فمك نحسو تينار,0,2021-03-28T18:17:52Z,p,
69,Imad dz,http://www.youtube.com/channel/UCJUd1xvHjMzyFuZtZmnyT3Q,والله غير اكبر مكبوت هي نتي تڨول خرجت من الحبس,0,2021-03-28T13:26:34Z,p,
70,Yasmine Ben naceur,http://www.youtube.com/channel/UCAfa3XStYbBiOY9IGAW4faQ,بلعقل على هادوك العنين,0,2021-03-27T09:46:05Z,n,
71,Sanaa Nina,http://www.youtube.com/channel/UC5if2vWZjRxFaly_z_jE5zA,قاتلك مكانش ديفيرونس بين العريانة ولي لابسة جلباب فهموها فهموها انا منعرفش نهدر كي نقلق,0,2021-03-25T01:25:24Z,p,
72,hggfxcn,http://www.youtube.com/channel/UCwWx1yt1s30LVWe182Xu8Gg,قالت بالنسبة للمغتصب لايوجد عنده فرق,0,2021-03-27T00:52:13Z,n,
73,sarah sarsour,http://www.youtube.com/channel/UC5RfyRg0ac6N91ODqXTO7sw,كون جيتي مرا ماتهدري هدي الهدرة على بلادك,0,2021-03-24T21:25:03Z,p,
74,Oussama Oussama,http://www.youtube.com/channel/UCbAH15flKqQsTt9Aozu-6BQ,ماتقدري الديري والو كي تكثري نحي السروال,1,2021-03-23T22:39:10Z,p,
75,La vie est Belle,http://www.youtube.com/channel/UCMhxt_owzq08L1_hML09Kfw,قبيحة شيطانة,0,2021-03-23T13:38:40Z,p,
76,Wahrane Mostaganem,http://www.youtube.com/channel/UCGUc0Ee5joyqPACor9lY8EA,صليب,0,2021-03-23T00:32:44Z,p,
77,raouf terbak,http://www.youtube.com/channel/UCXZHJisiSSzWENO8m3MjKkA,تناقض لا ينتهي منى الطيح وتقول لشعب مكبوت امبعد تقول الدين اخلاق هه,0,2021-03-22T10:18:25Z,p,
78,عبد القادر معمر قوادري,http://www.youtube.com/channel/UCR34ZqzNVlVQj2WabPWz9wg,ياخاه تعيي دايرة روحها فاهمة,0,2021-03-21T17:54:29Z,p,
79,Boubnia Djamel,http://www.youtube.com/channel/UCJwTSPTL3a8GfSN9O5d9seQ,نكرها هاذي تقول راني معيشها,0,2021-03-21T14:00:18Z,p,
80,Aymen Henanou,http://www.youtube.com/channel/UCmarKQQG7JlEQRt2s5H8SNw,عقرب ,0,2021-03-21T09:48:10Z,p,
81,farida fenni,http://www.youtube.com/channel/UCCyLxLU1HNYpKa1HuHU6qfA,دايرة مسيحية,0,2021-03-20T19:32:42Z,p,
82,Madara Nindo,http://www.youtube.com/channel/UCFmMC2qkFydGC84tBfUHZNQ,عندها الحق كاين كلام زايد لكن عندها الحق تدافع على الضحايا,0,2021-03-20T04:50:23Z,n,
83,Mimi Mimi,http://www.youtube.com/channel/UCzb5oNAFwnxyC2NIznhnioQ,عندها الحق بصح ماشي ڨاع الرجال,0,2021-03-20T03:27:43Z,n,
84,Nasro Nasro,http://www.youtube.com/channel/UCzIVpu0CZz6vgTtUhFuHBng,هدري نيشان يا العڨونى,0,2021-03-19T21:12:51Z,p,
85,Kiki Mimo,http://www.youtube.com/channel/UCOHSOo5XCRzHcOHKkgZMp3w,والله متحشمي صحيحة الوجه الله لاتربحك,0,2021-03-19T13:07:41Z,p,
86,Mohamed Sabbar,http://www.youtube.com/channel/UCR18lDCZ6nsYZhGnCaxKjog,قالت الحقيقة او جزء من الحقيقة او حتی لم تصب فهاته وجهة نظرها لماذا كل هاذا التخوين,0,2021-03-18T20:00:53Z,n,
87,صانع المحتوى,http://www.youtube.com/channel/UCKJWpzLAyS_kGkEQ-inb6OA,تحكي على الاسلام ماشك تبقي فيه حاب نفهم حاجة شكون لي قالبك ممثل انت اكي متجيش انسان و مرة جاي تعلمي اهدري باش تنصحي,0,2021-03-18T17:02:15Z,p,
88,nousa morsli,http://www.youtube.com/channel/UC_ezUZv_8IPc1xVsqILLuWw,ماكيش غاطة حبيبتي نحبك موت عليك,0,2021-03-18T12:17:21Z,n,
89,قناة مريومة للحلويات Nail,http://www.youtube.com/channel/UC073NsBUz7_cuEZr9of5bJA,وانا جيت اليوم نقولك بصحتنا مش راح نشوفو كمارتك في هذا رمضان,3,2021-03-17T19:11:07Z,p,
90,Beldi Youcef,http://www.youtube.com/channel/UCayiwxkfXj-L13ty4Itpixw,ننياا ماتسوايش ڨاع في هاد الدنيا,0,2021-03-17T13:43:02Z,p,
91,EVERY THINGS,http://www.youtube.com/channel/UC7QSS8Avq7Wultci39MWZKQ,الفديو تاعك معرض للحذف نضرا لتفوق الديسلايك,0,2021-03-17T00:55:23Z,n,
92,Reda cmr,http://www.youtube.com/channel/UCjzeYkTUXwY7bKV3GYp4NOw,تفو,0,2021-03-16T21:11:20Z,p,
93,Sid Ali Bezzi,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,الله يلعن,0,2021-03-15T10:26:59Z,p,
94,Sid Ali Bezzi,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,انتي ماشي مسلمة,1,2021-03-15T10:26:19Z,p,
95,Sid Ali Bezzi,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,واش دخلك,1,2021-03-15T10:24:35Z,p,
96,Amina Ben Khellaf,http://www.youtube.com/channel/UCyDqdH1LTQvsT20-WpgLyVg,كي تسترو رواحك وتقلو رواحك مايجيكم حتا واحد,0,2021-03-14T23:22:44Z,p,
97,khaled khaloud,http://www.youtube.com/channel/UCg7NNZRHbm62gToVXclWdpQ,واش حسبة روحك ويلا,0,2021-03-14T08:00:59Z,p,
98,Nadine Din,http://www.youtube.com/channel/UCTv9NwtP41N9Dez1uxJhLWA,نقصي من المايكياج نشوفو وجهك وجه معاد كيما يقولك,0,2021-03-14T00:15:19Z,p,
99,Walid Dob,http://www.youtube.com/channel/UCpPxbQ1PggrRENJGOFmZp1A,سترا هي حل حتى اكثر مضطربين متحرشين لن يتحرشو بي بنت مستورة جامي صرات عندنا وحدة مستورة تبلوها حنا نتبلو غير فوحة كم انت,0,2021-03-12T22:53:16Z,p,
100,Reda Reda,http://www.youtube.com/channel/UCU1DPYJw-fdbwvCtitMKhAg,روحي انصحي روحك,0,2021-03-12T21:40:02Z,p,
101,لا أريد قناة,http://www.youtube.com/channel/UCVttkYVQfGPpdKvtDxxx5bg,كافيا تاع الصح,1,2021-03-12T18:55:38Z,p,
102,Maria Rania,http://www.youtube.com/channel/UCBzlFJdFB5JUnFFBtQ3-R2w,بلعي بلعي بلعي ه جبهتك قد الكرة الارضيةهعه,2,2021-03-10T18:12:28Z,p,
103,Maria Rania,http://www.youtube.com/channel/UCBzlFJdFB5JUnFFBtQ3-R2w,هاوالله لوكان جات شابا لاقلنا معليش بصح هي والضيع كيف كيف ه,0,2021-03-11T18:14:55Z,p,
104,Marie Marie,http://www.youtube.com/channel/UCor6bZLmCOmjwj-4U3tkeAw,والله غير جبتيها,0,2021-03-10T19:58:21Z,n,
105,Amel Aitmeddour,http://www.youtube.com/channel/UCFBftpfhhxHsDtmWkBvQCQA,قالك واحد حب ايولي مشهور ديرو عليه قالولو روح اخرى في تالة راح خرا,0,2021-03-10T12:21:44Z,p,
106,Atman Hasan,http://www.youtube.com/channel/UCkfWe_muaDYjB4PZtHZPIUg,معليش نسقسيك واش كي تموتي واش نستروك ولا لا,0,2021-03-10T10:04:34Z,p,
107,123 Sultan,http://www.youtube.com/channel/UC7oO0w9fTmoNN6gR0DXZuHg,كيلو ماكياج,0,2021-03-09T03:42:30Z,p,
108,Madi Pirou,http://www.youtube.com/channel/UC4jWkMlnVLduIqIskqZKNBQ,جبهتك قد مطار هواري بومدين,0,2021-03-09T00:16:45Z,p,
109,Aymen Bandou,http://www.youtube.com/channel/UC3GKXkrXvA8K45jy6-0LF5A,الكحل ديرة حتى الوذنه,0,2021-03-08T21:27:48Z,p,
110,fatima zahra bekrattou,http://www.youtube.com/channel/UCc490ogxfpaL6sw8N-o4CGA,كلامها صحيح ,0,2021-03-08T19:32:59Z,n,
111,loka Moka,http://www.youtube.com/channel/UCQ9O_4uTJzxgDz05nwAG9uA,بلعي فمك لانجي بلعوهولك ڤدقد,0,2021-03-08T18:13:53Z,p,
112,Nono Tasnim,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,اتربي,0,2021-03-08T16:10:53Z,p,
113,Nono Tasnim,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,غول مشي مربيا,1,2021-03-08T16:10:30Z,p,
114,Nono Tasnim,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,كلاب,0,2021-03-08T16:10:11Z,p,
115,Mali Hamdani,http://www.youtube.com/channel/UCWUFAVFzpjtx7vnTgg9bESw,سمحيلي بصح قمح مشرك,0,2021-03-08T15:26:57Z,p,
116,Amina Younsi,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,كنشوفك كشغل شت العدس بالبن او ديجا البن بالعدس خرمنك,0,2021-03-08T14:03:18Z,p,
117,Amina Younsi,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,انتي لمسلمة الله يبارك جامي شت مومنة كيما نتي,0,2021-03-08T13:59:46Z,p,
118,Amina Younsi,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,واحد مسقساك روحي تترباي قبل,0,2021-03-08T13:58:06Z,p,
119,Yazid bechani,http://www.youtube.com/channel/UCvz3IA2AoB-4w0xr0SQQchA,روحي ستري لحمك وتوبي لربي سبحان,1,2021-03-07T22:29:37Z,p,
120,Aya Aya,http://www.youtube.com/channel/UCcdvKdiUt5azM80Y7xST3OA,حش خلق ربي فمك كبير قديريها ربي يهديك,1,2021-03-07T21:18:53Z,p,
121,Dalya Dalya,http://www.youtube.com/channel/UCfEifrafC4qbOUmXyVnHp_g,هيه راهي عندها حق,0,2021-03-06T17:12:32Z,n,
122,Jojo Jiji,http://www.youtube.com/channel/UCd41PrxCMtMd6ceivrM3G3w,عندك الحق,0,2021-03-06T16:10:31Z,n,
123,Salah Hamadouche,http://www.youtube.com/channel/UC-aDqWhEpKpNM5_KuH4PPUg,احترمي روحك وكي تشدي فمك نقلدوك,1,2021-03-06T09:10:20Z,p,
124,شخص مــا,http://www.youtube.com/channel/UCwswo_Hzo3nvVfelqW1jTWg,هادي بنت فرنسا رسمي فهمي نظمي,0,2021-03-06T08:11:28Z,p,
125,Aya Ayoucha,http://www.youtube.com/channel/UCyk2-WUrIHMJh7nHLszc7Og,عندها لحق لوكان ما غلطتش برك قالت ناس كامل مكبوتين,5,2021-03-05T12:55:13Z,n,
126,Malika Benirbah,http://www.youtube.com/channel/UC18nh_iYFRSGKZt7IJD_LBg,استر روحك ومبعد علمينا الدين,0,2021-03-05T00:35:32Z,p,
127,Rap Dz,http://www.youtube.com/channel/UCX4lL0KFFz2X1MMtCgRKvrA,راهم قاصفوك تراب كينغ وجليل با ليرموا,1,2021-03-04T18:52:58Z,n,
128,adil benmansour,http://www.youtube.com/channel/UCGNgp67h-vbwMG4-d3qYVPw,بن غول نحكمك نقطعك شريكي,1,2021-03-04T14:15:03Z,p,
129,rida barca,http://www.youtube.com/channel/UCAj6vGSJ3QrL56yYUzsZwSg,روحي تعلمي واش معنتها الاسلام ومبعد هدري,0,2021-03-04T11:42:37Z,p,
130,Amina Younsi,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,روحي تخراي لوكان غير حرقك انتي خمجتنا الجزاءر والله متحشمي خامجة,0,2021-03-04T08:20:14Z,p,
131,Omar Fan,http://www.youtube.com/channel/UCEhSlASzJbJoqf94awTX9lg,الجزايريين عايشين فلسيويس فرنسا اطاليا كل العالم شلون يعني يريڨو مكبوتين مخلوعين,0,2021-03-03T17:48:42Z,p,
