,text
2360,شكون شاف الصليب وتقولك او مفتاح تحسب فينا كباش صح
1656,اه لوكان طلعي ديك شوشة علا جبهتك نلقاوها كبيرة علا جبهة تحرير الوطني
1413,مازالت كاينة المخلوقة هادي وعلاه يعرضو فيها ويقيموها تافهة
1671,ماش تخاف من الحق هي قالت الحق لرجال ما قدروش يقولوه البلاد راحت غير من هاد الشى ليشوفو المنكر وما يهدروش اغلبية الرجال يطيحو وما يحشموش ولغاضه الحال هو منهم وما تجوش تقولو باباك وخوك خاطر بابا وخويا ما سامعينش قاع بهاد التفاهات وما غاضهمش الحال على شبه الرجال بالعكس بابا هو بروحه يضل يقول ما بقاو رجال
1077,الجزاير لي نتمناوها حنا الشعب الجزايري لازمها تتبدل من ساسها لراسها
1130,يا لاطيف وجه الشر انشاالله مانشوفهاش في رمضان فتليفزيون لوكان نشوفها ندورها يوتوب وخلاص ومايسماطليش السهرة
1288,روح تعطيه
690,لا اعرف من يقرا تعليقي الله يعطيك ركعة في بيت النبي زورو قناتي واشتراك بصدق اردها بصدق وامانة مرحبا بيكم
1189,مزلتي تصحي في وجهك البخص
801,نقلك حاجا تغيدوا الهدرة غير لمداير لفعايل هاذي اك زيد انا كمراة منسمحلكش تهدر هكا على مراة خويا ماشي افوكا تعها هدرت الحق تتهدر
2224,نحي الماكياج اخرجي برا اببزقيلي على وجهي اذا ماقالكش كاش واحد ارا قارو يا خو
1990,لبرا نتاعك دوك نظن قاع ما تشوفيهش لاراه نقي ولا موسخ يا تشاكي
697,عندها الحق 100 100
2346,ربي قال الستر للبنات قال تني غض البصر لراجل نتوما غير واش يخرج عليكم
455,وحد منهم نتيا
2408,للاسف الشديد عندها الحق
695,انا نقولك اختي بغافو خاطرش تشجعتي هدرتي قلتي الصح بنت بلادي الحقيقة مرة كي تنسمع علابيها فية كبيرة مهيش متقبلة لي هدرتيه ربي يهدينا بالتوفيق
2030,تفو خماج وشكرا
2190,تربحيي الشعر والله وراكي ڨبالي نكتلك بلحرام ماتشفيني نتي بعدا دايرا كالتفوه تقولي حنا حيوانات يانتيا بالنسبة للجزايريين قعرة نتي والو حاش بنات بلادي
2290,مونيا قتلتني بالضحك والله قتلتني صح
288,لابسة سيفيليزي توريلي في صدرك تحوسي تدخلي الجنة
316,تسريحة شعرك يا وسمك ديمودي بزاف فيقي شوي لروحك وبدليها
1965,هيا اعطونا شوي نشعات لمونيا وراكم هيا
114,غول مشي مربيا
929,حمقاء
492,نشالله تكون عقوبتك شينة يا العاهرة
294,عندها حق بصح ماش كامل
1475,بركي من الخرطي سبيتي الشعب الجزايري سبيتي الرجال قولي ايه استعرفي بالغلطة نتاعك واطلبي السماح من الشعب الجزايري هو ليطلعك هو ليهبطك مهما درتي ومهما قلتي انت مستواك هابط معندك حتى مستوى عقلك مخك فارغين انت بلاعقل انت زيرو كيفكيف
3,مش تقصد رجال اي تقصد خوك باباك يعني كل رجال الجزاير وهي بعد تقصد باباها وخوها
246,والله صح مفهمتش علاش جايبينها موراها هدرت كلمة الحق
1488,تفوا
172,مالكي تعوجي في فمك
1964,كون راجلك وفاميلتك جزايريين ماتقوليش هادي الهدرة ديري الحجاب واحد ما يريق عليك
2382,تحيا الشباب الجزايري لي عطا اروع مثال في الازمات كل الازمات اولها الحراك لي غيروا بيه مصير الجزاير خلصها من العصابة اخرها كورونا لي هب فيها كل شبابنا للمساعدة اذا ماشي بجيبو بذراعوا
251,عندها الحق والاغلبية ميحبش الصراحة
188,والله ماتحشمي
1969,حشاك تهدري في الشباب الجزايري نتي تلبيس لمزير والقصير وتقولي راهوم يتبلاو فيا ياخي رخص وكان حتي تخافي ربي متهدريش على الرجال والشباب الجزايري نتي ماشي مربية تلبس سرول جين مزير وتريكو قصير وكلش فيها يبان وتقول نغمال الله يديك لجهنم قولو امين
939,تزيدي تكذبي انتي ماشي مربية
606,لوكان قالت لفية معينة مشي ڨاع هي جمعت لالجيري ڨاع
417,عدها لحق بصح كي هدرت على كامل رجال صاروخ طلع نسات بلي منهم بابا وراجلها ساعفوها راي طايرة بصاروخ
15,واش دخلك واش كانت لابسا روحي شوفي روحك بصح حبيت نسقسيك حاجا نتي علاش تزوخي بزاف الله يهدي ماخلق
116,سمحيلي بصح قمح مشرك
2006,وانت ارحمت الشباب اللي مسكين مالقاش باش يزوج وتروحي تلبسي قدامو المزير والقصير وتقولي منبعد بلي هو حيوان حشاك وليد بلادي راجل ونص وانت اللي بالاك ماكيش جزايرية قحة وفي كل بلاد كاين الصالح والطالح الى ان يرث الله الارض ومافيها
1568,اوذم نلعص يرني اضص اشرحوهالي بلعربية ادرب المح نتا بعد ليراك عفتها
591,يعطيك الخير لي يسمع اقول كامل احنا كفكيف عقلية واحد الله غالب نقصين تربية على روحها الله يهديها ايهدينا في هدي دنيا واحد ميطيحش من نيفو تع ناس لقباش ربي اخلق افرق ازيد اصبحتين في يد امشي كفكيف
1836,نحتشون يماك
84,عندها الحق بصح ماشي ڨاع الرجال
2011,غريب والله اعلم
2003,انتي شى خصك كاش مادرتي لي ماشوفوك ماقيموك قالولك طز
2137,هدر نيشان
2550,خلينا من القح
1550,مازال راكي تهدري نورمالمون ماتزيدش تباني قاع قاع قاع
1962,3 3 9 79 3 9
777,وي عندها الحق والله العظيم مي نتوم لي تحبو تزيدو عليها هي هدرت على فية من الناس لي كانت تستشفا في شيماء مشي ڨاع ربي يهديكم
2088,عيدارية يا بنت الحركي
2040,اشكون الجزانة هادي خوتي
1867,كون قلتي حاشة ولاد الحلال
78,تناقض لا ينتهي منى الطيح وتقول لشعب مكبوت امبعد تقول الدين اخلاق هه
2142,عندك الحق مونية راني معاك حتى للخر
1866,كلبة نتيا ماشي مراة هذا هو بلاد المليون شهيد يا خامجة
1078,الوقت لي لحقنا ليه الجياحة الوقاحه وولاد لق في كل القنوات الفضايية المستوى ضعيف جدا بهدلتو بينا اللغه العربيه ما تتقنوهاش زاعما يهدرو الدرجه لانو الشعب بهيم ما يفهمش ياو انتم الي تخافو يبان عيبكم لانكم لا تستطيعون تركيب جملة مفيده انا اقترح مسابقه في اللغه العربيه لكل هاذ لفاتشات باش يبان المستوى التعليمي لانهم يثقفون اولادنا ثقافة الدعارة الدناءة في اللغو حسبي الله نعمل الوكيل
2104,شوفي يا الاخت البنت كي تستر روحها الولد ماعنده مايهدر فيها ولا يشوف فيها ربي ماهدرش على السترة غي هاكك فالقران الكريم
497,عندها الحق والله لانو بعض رجال ماشي الكل والله يديرو كلش لي مدار والو طمع طفلة خلاها تتعلق بيه وراح خلاها يقوللها اظا تحبني بعتيلي تصورك عريانة الله ربي يهديكم
627,ولاكن ماشي هكذا يقال الله امرنا نحن النساء ان تستر انفسنا وانا نلبس حجاب يغطي جسمنا وان يكون فضفاض لكي لا نوذة ولا نفتن
1538,طحت بك منيا بن فغولي
1435,روحي اتحجبي يافاسقة ومبعد اهدري على سيادك
347,الله يبارك
1896,تسمى دورت عنا
1424,ربي اذلك مزالكي تكذبي
2416,بنات اخر زمان تحامي عليهم المخلوقة ويزيدو يحلو فمهم ولا تحبو كيتبلاوكم يا
485,عندك حق مونية
1503,نحبك مونيا
1764,خستتني درجة نتاع سكالي
1818,وكيما قالو ما تخافش من الموج كي يتقلب خاف من الجبري كي يتحلب
1055,ترخفي
747,شوف مليح نت رمز تاع سنسلة قبل اوك
2169,نتيا خانزت الكيل وط تعايري
806,انا نحب موفيدا مسكينا نية
410,دايرا صليب فرقبتها شكون روماركا
167,راني حاب نعرف الشيطان شحال يخلص فيها هاد المخلوقة يعني الرسول صلى الله عليه سلم يحث على الستر وهي راهي تحث على العراء الله يهديها
2287,بلاك لشافوا فيها شابة بزاف قالوا سبحان الخلق المصور
2231,خليفة كي مداير بيريك يا بن عمي يا خليفة خويا يخي وصيتكم زعمة انت ودخي لي معاك ماتقباحوش بالديقيزاج راه العالم فايقلكم يا خليفة
1854,غير شوي راني رايح نعري عليك
2507,التبهدايل كامل عندها
876,وي واضح كي الشمس
1411,مزالك عايشة الجبهة
2117,مونيا بن فغول كونت نحترمك بصح دوك انت اليخليتين اكرهك
1455,الصوت والصورة كانو واضحين جدا انت شتمتي الرجل الجزاىري ووثفتيه باوصاف لاتليق حتى بالحيوان والله واحد مايسمحلك تطلعي تهبطي واحد مايسمحلك
18,وزيد تقول وتعاود فيها حسبي الله ونعم الوكيل
925,انه زمن الفيسبوك الذي سيدمر دول حضارات امم فنانات فينايات صرف الصحي مجاري المياه عودوا الى رشدكم دينكم قبل
923,قنات العار زيقو لي راهي جيب فيكم
856,اغ اغ
1365,هادي غيل خت تاع السقام
452,شكرا لك على الرد الجميل واصلي
594,الكبت قد يكون احد اسباب الاغتصاب لكن وصفك للشباب بالمكبوتين والتعميم على كل الناس امر غريب
1704,عيب عليك
373,عندك الحق اللباس خاطي الاخلاق
244,كلامها موجه للمتحرشين الفيديو كامل مفيهش اي اشارة للشعب الجزايري هاجمت الناس لي كانو يبرو مقتل شيماء كلامها واضح
2551,هدرتك كامل بفلانة وفلانة وشافو معاها وانت واحد ماشاف فيك بيسك راس بصلة خير منك ياالجبهة يالجبهة حشى خليقة ربي
1301,لا زين لا ضرافة وزيد قلة ادب
1718,اخويا مثلا هي تعرف لفرنسية تعرف تهدر كون تقولها صلاة العصر قدش ركعة تتشوكا صح ولا لالا
2119,يا سوسيال
1731,يخي مهبول درت لمكياج داتها في رحها كون تنحيه تبان دراقيل بلماكياج تبان مهبول هربت من سبيطار
1432,ياك قلتي لي مزعوق مايمثلش الوغ انتي مزعوقه روحي للدار
628,اظن انك امراة وهدا ما يزيد ياسي ليس المراة التي تفتن وانما الرجل الحيواني الدي يجب تربيته وتاديبه انظر الى الرجل الغربي المتحضر لمادا لا تفتنه امراة بلباسها لا ياعزيزتي المسوول عن السرقة هو السارق وعن القتل هو القاتل وعن الاغتصاب هو المغتصب اما عن الحجاب في الاسلام ففرض على النساء المومنات الاحرار لكي لا تتشبهن في لباسهن بالامى ولا يودين ان عرفن انهن حراير اقرا الاية التاسعة والخمسون من سورة الاحزاب وتفاسيرها ولم يتكلم قط عن انها تفتن الرجال لعلمك يااخي المسلمة ان في دولة الرسول وعلى مدى اربعة عشر قرنا كانت تعرض المراة للبيع في سوق النخاسة بلا حجاب وحتى صدرها عاري ولم يعارض احدا على انها تفتن الرجال
1102,ما لقينا ما نحاربوا الغلاء ولى الوباء ولى النقوشا ولى لارهاب ياو روحي وجهك مسودي يا جبهت التحرير لوكان جيتي تحشمي والله ماتزيدي توري كمارتك كوارطك محروڤين
2497,انتوما اولاد والله كامل الهدرة لي تكلمت عليها وقليلة فيكم ياخي تستاهلو كتر من هاك قالت عليكم كباش بلاك الكباش بقيمتهم شويا انتوما قل منها حاشا لبعض
1350,كذابة وعندك فيديو تسبي من السرة لتحت انت مش مربية
1013,قنوات الزيقو الرداءة دايرا حالا والعرا فالمسلسلات تاعكم متقدرش حتي تتفرج مع عايلتك ياحصرا على زمان كانت العايلة الجزايرية تتفرج ملمومة وكلشي نقي ظركا فظحونا يامحاينك
976,وريلنا الستوري الاصلي بالتاريخ الحقيقي شكرا
239,لقصاص نطبقو عليك
2513,قريت فلجامعة تاع الجزاير جامي تبلاني واحد وخدمت استاذة في الثانوية كان عمري 24 سنة لا ارى في اعين الرجال الا الاحترام لانني وبكل بساطة ملتزمة بحجابي متمسكة بديني اراقب الله في سلوكياتي ولله الحمد والفضل والمنة
1688,بصح علاش طولتتي باه تمدي هدا التبرير
1570,مازال ها تدور هاذي يا لطيف نقضتلي الوضوء
2173,بصح حنا الجزايريين دايما ننتاقدو في بعضانا علاه غير كي هدرت هي غاضكم الحال هي كلامها واقعي فقط انا ما نوفقهاش في حاجة وهي الحجاب السترة عدا عن ذلك هي محقة مع العلم ما نحبها ما نكرهها ما تعنيني في شيء
1027,وتزيد تكذب _
1146,جايحة
1006,اعوذ بالله من هذه المخلوقة يا لطيف شوفوا لاظافرها الملونة تفهموا كل شيء جهنم عندها ما تاكل
2511,اه يا لالا كل صبع بصنعه او فيقي روحك يا روحي تداوي في العثمانية او ادا ما لقيتيش المعريفه نعاونوك باه تدخلي تداوي ربي يشفيك مسكينة
48,شكون شاف السنسلة لي راهي دايرتها فيها لاكروا
2105,ايه مهدرش على غض البصر في باطل تان
1619,العيب والله ماهو فيك العيب في والديك لي رباوك وجاوبولنا الخرا كما نتيا
1543,واش يا المكبوتة شوية
559,وي ربي يهدينا لوقت لي رانا عايشين فيه تخافي تخرجي ياكلوك بعنيهم وخواتتهم يخافوا عليهم
576,دخلات طول عرض فالعباد الهضرة اللي قالت عندها فيها الحق ولكن الطريقة باش هضرات ماشي مليحة زادت فيه
466,خويا سمحلي مي شحال من مرة شفت بالي وحدة دايرة جلباب والا حجاب مخلاوهومش
812,علاش خاوتك مغتصبين مكبوتين تافهة ورخيسة
2431,يريقو واش راكي تهدري روحي استري روحك
396,الفحلة نتاعك راها تطلب في السماح وتتبري من هدرتها هادي اين انت من هذا
2459,معاها حق في وصف الوضع المتردي لسلوكنا هبوط مفاهيم الاخلاق عند شريحة من الشباب العربي المسلم هول الجريمة التي اقترفت بحق الاخت الانسانة شيماء يوجب علينا التوقف مراجعة السلوك السيء الذي نمى في فكر الرجل العربي المسلم نسينا قول المصطفى نبينا محمد صلى الله عليه سلم انما بعثت لاتمم مكارم الاخلاق
896,وي ربي ويتمنى للعباد رحمة وهي تتمنى بحرقا ربي يهدينا جميعا
2121,يخي نتي مرا لحي شوشة من جبهتك
182,موشكل عنده لحق
1135,ياوو سنانك يا سواراز فايحة
1467,سبحان الله حبيتي تركبي الموجة تع بشرى عقبي في زوج سبيتو الجزايريين
2318,باشعة خارجيا داخليا سكالوب حاجة والكاشير حاجة اخرى
1580,كي تهدري غير على واحد براك جزايري تهردت عليك
211,قبل ان تنتقدي احد ابديي بنفسك
2402,الله يهديك وروحي ستري روحك واتقي الله في نفسك وتحيا الجزاير والله يرحم الشهداء
751,كل انسان عارف قدروا الهدرة الطيبة معادتش تنفع مع المجتمع الذكوري المفعن لي عايشين فيه الانسان لي مش معني ومشي من الفية لي راهي تهدر عليها عمرو ما رح يغيضوا الحال او يتقلق من طريقتها لانو علابالو انو عندها الحق لي قاستوا هدرتها معناها راهي عليه وفهمك كفاية
2185,والله ما يوڨفلي عليك
1799,من التعليقاات اكتشفت ان عدوة المراة هي المراة
1641,ربي عالم بنيتك اختي انا نحبك فهمت قصدك واش كنتي تقصدي ولي قلتيه كله حقيقة
253,3 9 9 3 9 3 3
2186,ماكيش متربية شوفي كاش مدرسة تعاودلك التربية والرجال لي راكي تحكي عليهم هومو الاسود نتاع الجزاير بصح ماتحشميش
403,بلعي قادري روحك راكي كبيرة احشمي
470,لغلب مشي مربية راني حيب نفهم هي مشي تع بلادنا راهي تهدر على روحا
763,روحي نضفي فمك منبعد خرجي لخنز تاع كلامك سكوت على احمق جوابه
148,ربي يهديك ومواصفات ڨاع لي وصفتيها بينا هي انتي
39,هدرتك قلقتني قد مهدرت مفرغة
1954,هادي قوليلها لباباك اخوك تحبلك تتزوجي برجال الجزاير
1556,لالا هي شتمت كل الشباب الجزاىري وسبها وشتمها كان واضحا جدا ولو كان هذا الشي ملفق علاش لم تعتذر الايام الاولى ولكن زادت خرجت مرة اخرى واكدت واصرت على كلامها هاذي ماتحشمش وماتمثلش المراة ااجزاىرية الفحلة
566,ربي يهدي طفلة ماتت ترحمو عليها اكي غلطة طيحي في اولاد بلادك قادر طيح بيك الدنيا يعفسوك يا جايحة
1337,او قيو
2232,ياخي طالوشة
947,وتزيد تكذب كاين فرق بين امراة قبيحت وبين امراة عيدارية هادي عيدارية ماتحشمش
824,في هاذي ماقستيهاش هي انسانة متعلمة قرية مثقفة تهدر اللغات بطلاقة وراهي دافع على حقوق المراة دافع عليك يا
2524,احذر منها اصلها يهودية
640,معرفتيش تو صلي الميساج فقط
972,امشي قلبي وجهك برك
796,خلقة ربي سبحانو واحد ما مكمول الكمال لله
96,واش دخلك
112,بلعي فمك لانجي بلعوهولك ڤدقد
1808,جزاير يا عمري
1256,اعوذ بالله من شيطان رجيم
1111,مستوى 00
1274,هذي كي نشوفها فاي قنات نكره القنات هذي نبلوكيه طول بلاما نخمم مغطيا علا جبهتها جبهة التحرير البطني
735,عندك الحق مام انا دخلت جاني فضول ليقتها عندها حق مش غالطة مي لقات هجوم
790,هذاك مفتاح
2552,لكان فطستلك راسك يماك نهار زدتي تهنات هناتنا من هاذ الفيقورة
263,راك تقارني المسلمين بالمسيحيين يخي موسطاشة استغفري ربك ونحي هاذوك اظافر الشيطان وعندهم الحق كي قالو راك دايرا الصليب والله ماحق عليك وباش نزيد نقولك اميرة نتي سوفجتيها كانت لباس بيها شيطانة كبيرة
2172,الله يهديك قبل مايديك يعطيك تعلمتي تمكيي روحي ياك تغسلي وجهك غير عندالحفافة يماك ومتعرفكش بلا مكياج
823,يا اختي اهدري بالعربية الاخطاء الاملايية الراكي اديريها بالفرنسية احشومة علي صحفية ما نزعفيش هذي نصيحة ليك انا راني معاك في هذا الشيء ما بقاتش الرحمة في الجزاير
1720,يقولك زين في نعسو مشي حتا ايدر الحنة راسو
1884,زعمى ربي يخفلك نتي على هذا تسرف
1648,كذابة ومازالت تكذب وتبين وجها باين مغسول بالمرقة سبحان الله
1210,دوك شكون لبغلوش ليعيطلها وزاد يقيم فيها شعب كامل يشوف فيها حاشاكوم اومزالوا يستهزاو بينا ويعيطولها
1453,تفوو
477,انا مع القانون
1228,ه صح
1522,رمضان للعبادة وليس للمسلسلات
717,كون جيتي تعرفي الراجل على حق ماتقوليش الراجل يريق هذيك هيا من كثرة ريقو عليك راكي ساويا الراجل ومتزوجه يا متكبرا الحمد لله ماتربيناش هكذا نعرفو قيمت الراجل احنا جدودنا رجال واباينا رجال وخاوتنا رجال احنا بنات الرجال يا متكبرا
361,عندها الحق فكل كلمة هدرتها باين بلي هدرت علفية ملمجتمع ماشي علناس كامل غير الغبي ميفهمهاش لي معجبوش كلامعا راها عليه انتوما البنات لي تهاجموا فيها صح رخاص حتى لي يدافع عليكم تسبوه تحبوا تعبدوا الراجل حاشا البعض
108,كيلو ماكياج
2331,للاسف صوت الكلاب اجمل من صوتها
554,وله دحكتني كل واحد يدبر على قمجتو يخي كل واحد داخل لقبرو واحد ماراهو داخل معايا ديخا شكون قال بلي انا لابسة حيجاب زيد تراميك خارجين وعلاه طليتو علية انا نلبس كيما نحب حتا انا مانلبسش فوق الركبة ديجا ماشي لازم نشرح لعيباد متخلفين حتا هي كي هدرة ماقالتش قاع الناس خاش ماشي غاع كيفكيف غير لي مفهموش لافيديو مليح هوما لي ماحملوهاش صاح عندها الحق وعلاه يشوفو بلجلباب ماطلقوهمش ماشي غاع افهمو
511,المخلوقة هدرت على فية معينة ماسبتش ڨاع الجزايريين ولي مافي كرشو التبن مايخاف من النار تحياتي مونيا ربي يحفظك
1607,ايه نصهم مش كامل اكيد
754,مقالتش الشعب يريق قالت فية المغتصبين فية لي يستشفاو و يدخلو رواحهم اللبسة كيما نتيا
2152,كي تعرفي تحكي نحي الخاتم من اصبع الشهاد انتي وحده شيطان عليك العنة
2036,ه والله غير ضحكتني من قلبي قصف جبهة الرجال
1204,عندي ميساج معاها في انستغرام لي يحب نمدلو يخدم ميمز يجي انستغرام __94
339,فمك تقول تاع بڨرة والله
1271,غباء مزمن مرض العصر
181,لا تعممي عندما تتكلمي اختي ماشي كلشي كيف كيف
449,تم زدت رنيت جرس وشكرا
906,هاد الفيديو اكبر دليل انها لم تعمم ولم تقل الجزايريين بل تحدثت عن فية معينة وهكاك مازلتو تهدرو
371,والا كانت الطفلة معريا روحها ومتحشمش وقاصدة هداك الشي وش حبيتي حنا مسلمين وعرب وشوفي وش رانا نلبسو
1162,لكان حطيتي الفيديو تاعك لي فيه 11 دقيقة تفهمي الناس لكن فيديو لي فيه 11دقيقة لي راكي تهدري عليه مكانش لن يكون هذا تبرير كذب الدليل هو لي ياكل هذا الوقت معندكش السكتي تبرير بدون دليل
80,نكرها هاذي تقول راني معيشها
2180,هذي حاسبة روحها راح تصلح المجتمع بهذ الهدرة هي معلبلهاش بلي راهي هي الفازدة لكبيرة كون تحكمي دارك تتهلاي في ولديك خطاك علبالي نتي لي يديك يباصي عليك عندك لسان تاع لفعة يطلق غير السم
1083,كدابة ربي وكيلك مزال ربي يخلص فيك
1654,لوكان جات تحشم لوكان ما دارتش لي دارته
281,علاه انتي راكي مسلم
2139,واحدة كيما نني ما نقيمهاش نني وسخ فوق الارض بليقون ما نتوشيكش
376,كيمانتي
41,معجبتكش الجزاير روحي لفر نسا لاروبا هنين منك
799,اك
2244,39 3 3 7 7
2272,ريوق لي تحكي عليهم جامي صادفتهم في حياتي كاين صح لي يوقفك يقلك ختي معليش نيمرو لا نتعرفو بصح واش راكي تقولي والله مكان منو عيب اختي استري روحك واحد مايشوف معاك جايا تسبي في رجال الله يهديك ماعرف شكون غالط نتي ولا هوما
1010,الله يصفر وجهك وجهك صحيح فوزافي لدال
1863,مونية تبال هي مومن
1608,راكي انتي قلتي نصهم ومايساعدكش الحال تقولي كامل ماشي مليح الانسان يعيش على البغض والكره يضر روحه قبل لوخرين
2245,يا انتي باينة شحال متربية ماشي انتوما واشباهك لي خليتوا بنات الجزاير امثال شيما و يكونوا ضحايا سواء بذنب او بدون ذنب جيتوا من لا شيى ودخلتوا بيوت الناس وخليتو بنات الناس يتمردوا على والديهم عاداتهم وتقاليدهم العالية الي فرنسا وبليس الملعون ومقدروش يخترقوها ويحطموها وجيتوا نتوما يا اشباه الممثلين والمنشطين وحطمتوها والله خنتوا ثقة الجزاىريين الله يرحمك يارياض بوفجي ونجية خثير ويرحمك يا وقت الابيض والاسود وقت الحرمة والقدر والحشمة
834,روحي روحي يا جبهة التحرير روحي
2432,يا زح كينشوفها نحس هه بلي فمها فايح ناتن اسمحولي حاش خلق الله
680,مانسحقوش لي يربينا
1149,سبحان الله هذو لبنات تقول ما عندهم اولياء رباوهم لا يحشمو منهم تقول جاو من عدم الله يهدي ماخلق
1548,لالا واحد ما بدل هدرتك كامل سمعنا الفيديو وجملتي كامل الشعب قلتي كامل كبار صغار شيوخة باش نفكرك برك
1412,بعد التضامن لصرا مع بشرى عقبي فلفيديو تعها نقلك نتي معندكش الزهر برك
699,هدرت طفلة نورمال علاه تهجمتو عليها يعطيها صحة بردتلي قلبي هي هدرت على فية معينة شيماء ربي يرحمها
517,ربي يرحمها شيماء مسكينة ويعطيك الصحة مونيا
1021,يا ربي مسكينة ه
384,فمك جبهتك قدقد
360,ميمي انت صغيرة على الستار
131,روحي تخراي لوكان غير حرقك انتي خمجتنا الجزاءر والله متحشمي خامجة
317,مالا جربتيها
912,شكون شف سلسلةة واش مكتوب عليها
1577,مانعرفكش ومانيش حاب نعرفك
1546,المهم راهو غنالك اغنية ه
302,طوبا
2456,مديروش عليها خاوتي راهي من فصيلة البرماييات
1537,الله يثبتنا يرزقنا حسن الخاتمة
726,هاكي تشوفي
368,نتي تعرفي الحيوان يخي خوك شقيق حشا خلق الله قاتلك ختي سغيرة ارواحي ربيك كفاش تحكي
1032,لازم تخافي من لي خلقك لانك كي توصلي للمرحلة هادي ماتقدريش تاذي الناس وماشي نتي برك بزاف راهم كيفك مايخافوش ربي وهاذي هي المعضلة كي ماتخفاش من ربي راح تخاف من الناس
646,عندك الحق في كل كلمة قلتيها وراني معاك
715,هي هدرتها صحيحة بصح تعبيرها ناقص شوي وكي راهي تقول من كبير وصغير راهو قصدها لي جون والعجايز كامل مقصدهاش كامل الرجال قصدها تلقا من كامل الاعمار ملاحضة انا هاذي المخلوقة اول مرة نشوفها في حياتي متقليش راكي دافعي عليها ومنعلاباليش
1841,عليه افضل الصلاة السلام
1333,يخي حالة يخي شغل يشوفو في الشعب هذا ياكل من وذنو ياو فاقو على العموم الله يهدينا اجمعين
718,كونوا اول مرة في حياتكم نساء نساء ماش ديما تمشيو ورا الراجل
1207,خرا
1232,نصيحتي لاي قناة توقفو عن نشر العهر لانه سوف ينقص التفاعل سلام
2387,باسكو نتي تمشي عريانة في الطريق ولوكان جيتي لابسة حجاب واحد مايشوف فيك يا والله غير حشمنا ما نقولولك حنا شباب مربيين عليك يا ومكانش جزايري حر راح يتبلاك ديريها مليح في بالك
